questionId,title,subTitle,doneNum,task1Types,task2Types,task2Topics,groups,listValues,detailOk,chartCount,detailReason
8442,剑雅18 Test 1,C18T1W1,79209,线型图,,,线型图,1301_0_1303,true,1,
8319,剑雅16 Test 1,C16T1W1,66453,线型图,,,线型图,1301_0_1303,true,1,
8517,剑雅19 Test 1,C19T1W1,66067,线型图,,,线型图,1301_0_1303,true,1,
8395,剑雅17 Test 1,C17T1W1,54929,地图,,,地图,1301_0_1308,true,1,
8124,剑雅15 Test 1,C15T1W1,51560,柱状图,,,柱状图,1301_0_1304,true,1,
8397,剑雅17 Test 2,C17T2W1,46418,饼型图,,,饼型图,1301_0_1306,true,1,
8410,剑雅17 Test 4,C17T4W1,46311,线型图,,,线型图,1301_0_1303,true,1,
8133,剑雅15 Test 2,C15T2W1,46123,线型图,,,线型图,1301_0_1303,true,1,
8454,剑雅18 Test 2,C18T2W1,42780,柱状图,,,柱状图,1301_0_1304,true,1,
8396,剑雅17 Test 1,C17T1W2,41483,,利弊分析,全部话题|社会生活类,利弊分析,1302_0_1309|1302_1316_1309,true,0,
8405,剑雅17 Test 3,C17T3W1,38833,柱状图,,,柱状图,1301_0_1304,true,1,
8333,剑雅16 Test 2,C16T2W1,38674,流程图,,,流程图,1301_0_1305,true,1,
8332,剑雅16 Test 1,C16T1W2,38382,,说明文,全部话题|社会生活类,说明文,1302_0_1311|1302_1316_1311,true,0,
6624,剑雅14 Test 1,C14T1W1,38199,饼型图,,,饼型图,1301_0_1306,true,1,
8443,剑雅18 Test 1,C18T1W2,36261,,是否同意,全部话题|政府类,是否同意,1302_0_1310|1302_1313_1310,true,0,
8478,剑雅18 Test 4,C18T4W1,35356,线型图,,,线型图,1301_0_1303,true,1,
8518,剑雅19 Test 1,C19T1W2,31830,,双边讨论,全部话题|社会生活类,双边讨论,1302_0_1365|1302_1316_1365,true,0,
6961,剑雅5 Test 1,C5T1W1,29584,线型图,,,线型图,1301_0_1303,true,1,
6789,剑雅11 Test 3,C11T3W1,29469,线型图,,,线型图,1301_0_1303,true,1,
8522,剑雅19 Test 2,C19T2W1,28715,地图,,,地图,1301_0_1308,true,1,
8398,剑雅17 Test 2,C17T2W2,28272,,利弊分析,全部话题|教育类,利弊分析,1302_0_1309|1302_1314_1309,true,0,
